A	'ə	 ə 
sorrut	s o r 'u t	 s 'o r 'u t 
sostinguda	s o s t i ŋ g 'u ð ə	 s o s t 'i ŋ g 'u ð ə 
sostingudes	s o s t i ŋ g 'u ð ə s	 s o s t 'i ŋ g 'u ð ə s 
sostingut	s o s t i ŋ g 'u t	 s o s t 'i ŋ g 'u t 
sostinguts	s o s t i ŋ g 'u t s	 s o s t 'i ŋ g 'u t s 
sostre	s 'o s t ɾ ə	 s 'ɔ s t ɾ ə 
sostres	s 'o s t ɾ ə s	 s 'ɔ s t ɾ ə s 
sostreure	s o s t ɾ 'ə w ɾ ə	 s o s t ɾ 'ɛ w ɾ ə 
sota	s 'o t ə	 s 'ɔ t ə 
soterrament	s o t ə r ə m 'e n t	 s o t 'ɛ r ə m 'e n t 
sotmetiment	s o m m ə t i m 'e n t	 s o m m 'ɛ t i m 'e n t 
sous	s 'ɔ w s	 s 'o 'u s 
sovintejada	s o v i n t ə ʒ 'a ð ə	 s o v 'i n t ə ʒ 'a ð ə 
sovintejades	s o v i n t ə ʒ 'a ð ə s	 s o v 'i n t ə ʒ 'a ð ə s 
sovintejar	s o v i n t ə ʒ 'a	 s o v 'i n t ə ʒ 'a 
sovintejat	s o v i n t ə ʒ 'a t	 s o v 'i n t ə ʒ 'a t 
sovintejats	s o v i n t ə ʒ 'a t s	 s o v 'i n t ə ʒ 'a t s 
subhasta	s u β 'a s t ə	 s u β i 'a s t ə 
subratllades	s u β ɾ ə l ʎ ʎ 'a ð ə s	 s u β ɾ 'a ʎ ʎ 'a ð ə s 
subscriure	s u p s k ɾ 'i w ɾ ə	 s u t s k ɾ 'i w ɾ ə 
substància	s u p s t 'a n s i ə	 s u t s t 'a n s i ə 
sucursal	s u k u ɾ s 'a l	 s u k 'u s 'a l 
sucursals	s u k u ɾ s 'a l s	 s u k 'u s 'a l s 
Suècia	s u 'ə s i ə	 s u 'ɛ s i ə 
súper	s 'u p ə	 s 'u p 'e  
suplement	s u p l ə m 'e n t	 s 'u p l ə m 'e n t 
suport	s u p 'ɔ ɾ t	 s u p 'o ɾ t 
sutzura	s u d z 'u ɾ ə	 s 'u d z 'u ɾ ə 
tailandesa	t ə j l ə n d 'ə z ə	 t 'a j l ə n d 'ə z ə 
tailandeses	t ə j l ə n d 'ə z ə s	 t 'a j l ə n d 'ə z ə s 
Tailàndia	t ə j l 'a n d i ə	 t ə i l 'a n d i ə 
tàlveg	t 'a l v ə k	 t 'a l v ə ɣ 
tancament	t ə ŋ k ə m 'e n t	 t 'a ŋ k ə m 'e n t 
tangent	t ə n ʒ 'e n t	 t 'a ŋ g 'e n t 
tanoca	t ə n 'o k ə	 t ə n 'ɔ k ə 
tard	t 'a ɾ t	 t 'a ɾ ə 
tàtar	t 'a t ə	 t 'a t 'a 
tatxonar	t ə t ʃ o n 'a	 t 'a t ʃ o n 'a 
taüt	t ə 'u t	 t 'a 'u t 
tèbia	t 'ə β i ə	 t 'ɛ β i ə 
tecla	t 'e k l ə	 t 'ɛ k l ə 
tecles	t 'e k l ə s	 t 'ɛ k l ə s 
telèfons	t ə l 'ə f o n s	 t ə l 'ə f 'o n s 
tema	t 'e m ə	 t 'ə m ə 
temen	t 'e m ə n	 t 'ə m ə n 
témer	t 'e m ə	 t 'e m 'e  
temes	t 'e m ə s	 t 'ə m ə s 
temo	t 'e m o	 t 'ə m o 
temperament	t ə m p ə ɾ ə m 'e n t	 t ə m p 'ɛ ɾ ə m 'e n t 
tempesta	t ə m p 'e s t ə	 t ə m p 'ə s t ə 
templa	t 'e m p l ə	 t 'ə m p l ə 
temple	t 'e m p l ə	 t 'ə m p l ə 
temples	t 'e m p l ə s	 t 'ə m p l ə s 
temptada	t ə m t 'a ð ə	 t ə m ə t 'a ð ə 
temptades	t ə m t 'a ð ə s	 t ə m ə t 'a ð ə s 
temptat	t ə m t 'a t	 t ə m ə t 'a t 
temptats	t ə m t 'a t s	 t ə m ə t 'a t s 
tenda	t 'e n d ə	 t 'ɛ n d ə 
tendenciosa	t ə n d ə n s i 'o z ə	 t ə n d ə n s i 'o s ə 
tendencioses	t ə n d ə n s i 'o z ə s	 t ə n d ə n s i 'o s ə s 
tendenciosos	t ə n d ə n s i 'o z o s	 t ə n d ə n s i 'o s o s 
tendes	t 'e n d ə s	 t 'ə n d ə s 
tenebra	t ə n 'e β ɾ ə	 t ə n 'ə β ɾ ə 
tenebres	t ə n 'e β ɾ ə s	 t ə n 'ə β ɾ ə s 
tenen	t 'e n ə n	 t 'ə n ə n 
téntol	t 'e n t o l	 t 'e n t 'ɔ l 
terapèutic	t ə ɾ ə p 'ə w t i k	 t ə ɾ ə p 'ɛ w t i k 
terrestre	t ə r 'e s t ɾ ə	 t ə r 'ə s t ɾ ə 
terrestres	t ə r 'e s t ɾ ə s	 t ə r 'ə s t ɾ ə s 
Teseu	t ə z 'ɛ w	 t ə s 'ɛ w 
testament	t ə s t ə m 'e n t	 t 'ə s t ə m 'e n t 
testimoni	t ə s t i m 'ɔ n i	 t ə s t i m 'o n i 
tètanus	t 'ə t ə n u s	 t 'ə t ə n 'u s 
teuladí	t ə w l ə ð 'i	 t ə w l 'a ð 'i 
teva	t 'e v ə	 t 'ə v ə 
teves	t 'e v ə s	 t 'ə v ə s 
tinamú	t i n ə m 'u	 t i n 'a m 'u 
tinguda	t i ŋ g 'u ð ə	 t 'i ŋ g 'u ð ə 
tingudes	t i ŋ g 'u ð ə s	 t 'i ŋ g 'u ð ə s 
tinter	t i n t 'e	 t 'i n t 'e 
titlada	t i l l 'a ð ə	 t i ə l 'a ð ə 
titlades	t i l l 'a ð ə s	 t i ə l 'a ð ə s 
titlar	t i l l 'a	 t i ə l 'a 
titlat	t i l l 'a t	 t i ə l 'a t 
titlats	t i l l 'a t s	 t i ə l 'a t s 
tomba	t 'o m b ə	 t 'ɔ m b ə 
tomben	t 'o m b ə n	 t 'ɔ m b ə n 
tombes	t 'o m b ə s	 t 'ɔ m b ə s 
tonya	t 'ɔ ɲ ə	 t 'o ɲ ə 
topa	t 'o p ə	 t 'ɔ p ə 
topen	t 'o p ə n	 t 'ɔ p ə n 
topo	t 'o p o	 t 'ɔ p o 
torba	t 'o ɾ β ə	 t 'ɔ ɾ β ə 
torben	t 'o ɾ β ə n	 t 'ɔ ɾ β ə n 
torçuda	t o ɾ s 'u ð ə	 t 'o ɾ s 'u ð ə 
torçudes	t o ɾ s 'u ð ə s	 t 'o ɾ s 'u ð ə s 
torçut	t o ɾ s 'u t	 t 'o ɾ s 'u t 
torçuts	t o ɾ s 'u t s	 t 'o ɾ s 'u t s 
torna	t 'o ɾ n ə	 t 'ɔ ɾ n ə 
tornen	t 'o ɾ n ə n	 t 'ɔ ɾ n ə n 
tornes	t 'o ɾ n ə s	 t 'ɔ ɾ n ə s 
torno	t 'o ɾ n o	 t 'ɔ ɾ n o 
torra	t 'ɔ r ə	 t 'o r ə 
torre	t 'o r ə	 t 'ɔ r ə 
torrent	t o r 'e n t	 t 'o r 'e n t 
tort	t 'ɔ ɾ t	 t 'o ɾ t 
tortuga	t o ɾ t 'u ɣ ə	 t 'ɔ ɾ t 'u ɣ ə 
tortura	t o ɾ t 'u ɾ ə	 t 'ɔ ɾ t 'u ɾ ə 
tortures	t o ɾ t 'u ɾ ə s	 t 'ɔ ɾ t 'u ɾ ə s 
torturo	t o ɾ t 'u ɾ o	 t 'ɔ ɾ t 'u ɾ o 
tosca	t 'o s k ə	 t 'ɔ s k ə 
tossut	t o s 'u t	 t 'o s 'u t 
tota	t 'o t ə	 t 'ɔ t ə 
totes	t 'o t ə s	 t 'ɔ t ə s 
totxo	t 'o t ʃ o	 t 'ɔ t ʃ o 
tractament	t ɾ ə t t ə m 'e n t	 t ɾ 'a t t ə m 'e n t 
transsexual	t ɾ ə n s ə t s u 'a l	 t ɾ 'a n s ə t s u 'a l 
transsexualitat	t ɾ ə n s ə t s u ə l i t 'a t	 t ɾ 'a n s ə t s u ə l i t 'a t 
transsiberià	t ɾ ə n s i β ə ɾ i 'a	 t ɾ 'a n s i β ə ɾ i 'a 
Transsiberià	t ɾ ə n s i β ə ɾ i 'a	 t ɾ 'a n s i β ə ɾ i 'a 
trapezi	t ɾ ə p 'ɛ z i	 t ɾ ə p 'ə z i 
traqueal	t ɾ ə k e 'a l	 t ɾ ə k 'e 'a l 
traqueals	t ɾ ə k e 'a l s	 t ɾ ə k 'e 'a l s 
trasplantament	t ɾ ə s p l ə n t ə m 'e n t	 t ɾ ə s p l 'a n t ə m 'e n t 
travessada	t ɾ ə v ə s 'a ð ə	 t ɾ 'a v ə s 'a ð ə 
travessades	t ɾ ə v ə s 'a ð ə s	 t ɾ 'a v ə s 'a ð ə s 
travessar	t ɾ ə v ə s 'a	 t ɾ 'a v ə s 'a 
travessat	t ɾ ə v ə s 'a t	 t ɾ 'a v ə s 'a t 
travessats	t ɾ ə v ə s 'a t s	 t ɾ 'a v ə s 'a t s 
travessia	t ɾ ə v ə s 'i ə	 t ɾ 'a v ə s 'i ə 
travessies	t ɾ ə v ə s 'i ə s	 t ɾ 'a v ə s 'i ə s 
tremp	t ɾ 'e m p	 t ɾ 'ə m p 
Tremp	t ɾ 'e m p	 t ɾ 'ə m p 
trencament	t ɾ ə ŋ k ə m 'e n t	 t ɾ 'ə ŋ k ə m 'e n t 
trenqués	t ɾ ə ŋ k 'e s	 t ɾ 'ə ŋ k 'e s 
trenqui	t ɾ 'ɛ ŋ k i	 t ɾ 'ə ŋ k i 
trenquin	t ɾ 'ɛ ŋ k i n	 t ɾ 'ə ŋ k i n 
trenquis	t ɾ 'ɛ ŋ k i s	 t ɾ 'ə ŋ k i s 
trens	t ɾ 'ə n s	 t ɾ 'e n s 
trepa	t ɾ 'e p ə	 t ɾ 'ə p ə 
trepes	t ɾ 'e p ə s	 t ɾ 'ə p ə s 
trepig	t ɾ ə p 'i t ʃ	 t ɾ ə p 'i ə 
trepitjada	t ɾ ə p i d ʒ 'a ð ə	 t ɾ ə p 'i ə ʒ 'a ð ə 
trepitjades	t ɾ ə p i d ʒ 'a ð ə s	 t ɾ ə p 'i ə ʒ 'a ð ə s 
trepitjaneu	t ɾ ə p i d ʒ ə n 'ɛ w	 t ɾ ə p i d ʒ ə n 'ə w 
tret	t ɾ 'e t	 t ɾ 'ə t 
treta	t ɾ 'e t ə	 t ɾ 'ə t ə 
tretes	t ɾ 'e t ə s	 t ɾ 'ə t ə s 
trets	t ɾ 'e t s	 t ɾ 'ə t s 
tretze	t ɾ 'e d z ə	 t ɾ 'ə d z ə 
treure	t ɾ 'ə w ɾ ə	 t ɾ 'ɛ w ɾ ə 
treus	t ɾ 'ɛ w s	 t ɾ 'ə w s 
treva	t ɾ 'e v ə	 t ɾ 'ə v ə 
Trèveris	t ɾ 'ɛ v ə ɾ i s	 t ɾ 'ə v ə ɾ i s 
triangulars	t ɾ i ə ŋ g u l 'a s	 t ɾ i 'a ŋ g u l 'a s 
troià	t ɾ o j 'a	 t ɾ o i 'a 
tromba	t ɾ 'o m b ə	 t ɾ 'ɔ m b ə 
trompa	t ɾ 'o m p ə	 t ɾ 'ɔ m p ə 
trompes	t ɾ 'o m p ə s	 t ɾ 'ɔ m p ə s 
tropa	t ɾ 'o p ə	 t ɾ 'ɔ p ə 
tropes	t ɾ 'o p ə s	 t ɾ 'ɔ p ə s 
truncat	t ɾ u ŋ k 'a t	 t ɾ 'u ŋ k 'a t 
truncats	t ɾ u ŋ k 'a t s	 t ɾ 'u ŋ k 'a t s 
tsar	t s 'a	 ə z 'a 
tucà	t u k 'a	 t 'u k 'a 
tudó	t u ð 'o	 t 'u ð 'o 
tutú	t u t 'u	 t 'u t 'u 
uigur	u j ɣ 'u	 u i ɣ 'u 
ull	'u j	 'u ʎ 
vaig	v 'a t ʃ	 v 'a ʃ 
vailet	v ə j l 'ə t	 v ə i l 'ə t 
vainilla	v ə j n 'i ʎ ə	 v ə i n 'i ʎ ə 
vainilles	v ə j n 'i ʎ ə s	 v ə i n 'i ʎ ə s 
vairescut	v ə j ɾ ə s k 'u t	 v 'a j ɾ ə s k 'u t 
vaiverejar	v ə j v ə ɾ ə ʒ 'a	 v 'a j v ə ɾ ə ʒ 'a 
valer	v ə l 'ə	 v ə l 'e 
ve	v 'e	 v 'ə 
vegetarianisme	v ə ʒ ə t ə ɾ i ə n 'i z m ə	 v ə ʒ ə t ə ɾ 'i ə n 'i z m ə 
vehement	v ə ə m 'e n t	 v 'ə z ə m 'e n t 
venciment	v ə n s i m 'e n t	 v 'ɛ n s i m 'e n t 
Venècia	v ə n 'ə s i ə	 v ə n 'ɛ s i ə 
vènet	v 'ɛ  n ə t	 v 'ə n ə t 
vènia	v 'ɛ  n i ə	 v 'ɛ n i ə 
ventre	v 'e n t ɾ ə	 v 'ɛ n t ɾ ə 
ventrell	v ə n t ɾ 'ə ʎ	 v ə n t ɾ 'e ʎ 
Venus	v 'ɛ n u s	 v 'ə n u s 
vespa	v 'e s p ə	 v 'ə s p ə 
vespre	v 'e s p ɾ ə	 v 'ə s p ɾ ə 
vessament	v ə s ə m 'e n t	 v 'ə s ə m 'e n t 
vetlla	v 'e ʎ ʎ ə	 v 'ə ʎ ʎ ə 
vetla	v 'e l l ə	 v 'ə t l ə 
veure	v 'ə w ɾ ə	 v 'ɛ w ɾ ə 
viatger	v i ə d ʒ 'e	 v i 'a d ʒ 'e 
viatgera	v i ə d ʒ 'e ɾ ə	 v i 'a d ʒ 'e ɾ ə 
Vicent	v i s 'ɛ n t	 v i s 'e n t 
vicesecretari	v i s ə s ə k ɾ ə t 'a ɾ i	 v i s ə z ə k ɾ ə t 'a ɾ i 
vigència	v i ʒ 'ɛ  n s i ə	 v i ʒ 'ɛ n s i ə 
vigèsim	v i ʒ 'ɛ  z i m	 v i ʒ 'ɛ z i m 
vinguda	v i ŋ g 'u ð ə	 v 'i ŋ g 'u ð ə 
vingudes	v i ŋ g 'u ð ə s	 v 'i ŋ g 'u ð ə s 
vingut	v i ŋ g 'u t	 v 'i ŋ g 'u t 
vinguts	v i ŋ g 'u t s	 v 'i ŋ g 'u t s 
violència	v i o l 'ɛ  n s i ə	 v i o l 'ɛ n s i ə 
virtut	v i ɾ t 'u t	 v 'i ɾ t 'u t 
viticultura	v i t i k u l t 'u ɾ ə	 v i t i k 'u l t 'u ɾ ə 
viuda	v 'i w ð ə	 v 'i 'u ð ə 
voivoda	v o j v 'ɔ ð ə	 v o i v 'ɔ ð ə 
voler	v o l 'ə	 v o l 'e 
volguda	v o l ɣ 'u ð ə	 v 'ɔ l ɣ 'u ð ə 
volgudes	v o l ɣ 'u ð ə s	 v 'ɔ l ɣ 'u ð ə s 
volgut	v o l ɣ 'u t	 v 'ɔ l ɣ 'u t 
volguts	v o l ɣ 'u t s	 v 'ɔ l ɣ 'u t s 
volumètric	v o l u m 'ɛ t ɾ i k	 v o l u m 'ə t ɾ i k 
votants	v o t 'a n s	 v o t 'a n t s 
voto	v 'o t o	 v 'ɔ t o 
vuitada	v u j t 'a ð ə	 v u i t 'a ð ə 
vuitanta	v u j t 'a n t ə	 v u i t 'a n t ə 
wiki	b 'i k i	 ə 'i k i 
xafardejada	ʃ ə f ə ɾ ð ə ʒ 'a ð ə	 ʃ ə f 'a ɾ ð ə ʒ 'a ð ə 
xafardejades	ʃ ə f ə ɾ ð ə ʒ 'a ð ə s	 ʃ ə f 'a ɾ ð ə ʒ 'a ð ə s 
xafardejar	ʃ ə f ə ɾ ð ə ʒ 'a	 ʃ ə f 'a ɾ ð ə ʒ 'a 
xafardejat	ʃ ə f ə ɾ ð ə ʒ 'a t	 ʃ ə f 'a ɾ ð ə ʒ 'a t 
xafardejats	ʃ ə f ə ɾ ð ə ʒ 'a t s	 ʃ ə f 'a ɾ ð ə ʒ 'a t s 
xafarderia	ʃ ə f ə ɾ ð ə ɾ 'i ə	 ʃ ə f 'a ɾ ð ə ɾ 'i ə 
Xangai	ʃ ə ŋ g 'a j	 ʃ ə ŋ g 'a i 
xangainès	ʃ ə ŋ g ə j n 'ə s	 ʃ ə ŋ g ə i n 'ə s 
xativí	ʃ ə t i v 'i	 ʃ ə t 'i v 'i 
xecs	ʃ 'ɛ t s	 ʃ 'ə t s 
xeic	ʃ 'e j k	 ʃ 'ə j k 
xereca	ʃ ə ɾ 'ɛ k ə	 ʃ ə ɾ 'ə k ə 
xiïta	ʃ i 'i t ə	 ʃ 'i 'i t ə 
xíndria	ʃ 'i n d ɾ i ə	 ʃ 'i n d ɾ 'i ə 
xistorra	ʃ i s t 'ɔ r ə	 ʃ i s t 'o r ə 
xoriguer	ʃ o ɾ i ɣ 'e	 ʃ o ɾ 'i ɣ 'e 
xou	ʃ 'ɔ w	 ʃ 'o 
xous	ʃ 'ɔ w s	 ʃ 'o 'u s 
xucrut	ʃ u k ɾ 'u t	 ʃ 'u k ɾ 'u t 
Xúquer	ʃ 'u k ə	 ʃ 'u k 'e  
zebra	z 'e β ɾ ə	 z 'ə β ɾ ə 
zeugma	z 'ɛ w m m ə	 z 'ə u m m ə 
zirconi	z i ɾ k 'ɔ n i	 z i ɾ k 'o n i 
zoòleg	z o 'ɔ l ə k	 o 'ɔ 'ɔ l ə k 
de	d 'ə	 d ə 
que	k 'ə	 k ə 
la	l 'ə	 l ə 
i	'i	 i 
a	'ə	 ə 
el	'ə l	 ə l 
en	'ə n	 ə n 
les	l 'ə s	 l ə s 
els	'ə l s	 'ɛ l s 
del	d 'ə l	 d ə l 
amb	'ə m	 'a m b 
al	'ə l	 'a l 
es	'ə s	 ə s 
com	k 'ɔ m	 k 'o m 
El	'ə l	 ə l 
dels	d 'ə l s	 d 'ɛ l s 
hi	'i	 i 
La	l 'ə	 l ə 
o	'ɔ	 'o 
si	s 'i	 s i 
em	'ə m	 ə m 
li	l 'i	 l i 
tot	t 'o t	 t 'ɔ t 
seva	s 'e v ə	 s 'ə v ə 
ens	'ə n s	 ə n s 
Els	ə l s	 'ɛ l s 
A	'ə	 ə 
als	ə l s	 'a l s 
sobre	s 'o β ɾ ə	 s 'ɔ β ɾ ə 
vaig	v 'a t ʃ	 v 'a ʃ 
En	'ə n	 ə n 
Si	s 'i	 s i 
sense	s 'e n s ə	 s 'ə n s ə 
ho	'o	 o 
res	r 'ɛ s	 r 'ə s 
De	d 'ə	 d ə 
pel	p 'ə l	 p 'ɛ l 
tots	t 'o t s	 t 'ɔ t s 
meva	m 'e v ə	 m 'ə v ə 
sempre	s 'e m p ɾ ə	 s 'ə m p ɾ ə 
I	'i	 i 
he	'e	 'a 
hem	'ə m	 'a m 
cosa	k 'ɔ z ə	 k 'o z ə 
seves	s 'e v ə s	 s 'ə v ə s 
se	s 'ə	 s ə 
Les	l 'ə s	 l ə s 
sistema	s i s t 'e m ə	 s i s t 'ə m ə 
Em	'ə m	 ə m 
tota	t 'o t ə	 t 'ɔ t ə 
et	'ə t	 ə t 
moment	m o m 'e n t	 m 'ɔ m 'e n t 
Es	'ə s	 ə s 
poder	p o ð 'ə	 p o ð 'e 
Al	'ə l	 'a l 
hores	'ɔ ɾ ə s	 ə 'o ə s 
totes	t 'o t ə s	 t 'ɔ t ə s 
coses	k 'ɔ z ə s	 k 'o z ə s 
Hi	'i	 i 
Com	k 'ɔ m	 k 'o m 
dona	d 'ɔ n ə	 d 'o n ə 
diferents	d i f ə ɾ 'e n s	 d i f ə ɾ 'e n t s 
haver	ə v 'ə	 ə v 'e 
tenen	t 'e n ə n	 t 'ə n ə n 
ningú	n i ŋ g 'u	 n 'i ŋ g 'u 
Li	l 'i	 l i 
Amb	'ə m	 'a m b 
nens	n 'ə n s	 n 'e n s 
centre	s 'e n t ɾ ə	 s 'ɛ n t ɾ ə 
sota	s 'o t ə	 s 'ɔ t ə 
ben	b 'e n	 b 'ə n 
pels	p 'ə l s	 p 'ɛ l s 
molts	m 'o l s	 m 'o l t s 
contra	k 'o n t ɾ ə	 k 'ɔ n t ɾ ə 
saber	s ə β 'ə	 s ə β 'e 
mig	m 'i t ʃ	 m 'i k 
cotxe	k 'o t ʃ o	 k 'ɔ t ʃ ə 
Ho	'o	 o 
moltes	m 'o l t ə s	 m 'ɔ l t ə s 
mateixa	m ə t 'e ʃ ə	 m ə t 'ɛ ʃ ə 
eren	'e ɾ ə n	 'ɛ ɾ ə n 
mes	m 'e s	 m 'ə s 
Queden	k 'e ð ə n	 k 'ə ð ə n 
mort	m 'ɔ ɾ t	 m 'o ɾ t 
forma	f 'o ɾ m ə	 f 'ɔ ɾ m ə 
fora	f 'ɔ ɾ ə	 f 'o ɾ ə 
home	'ɔ m o	 ə m ə 
ve	v 'e	 v 'ə 
trenta	t ɾ 'ə n t ə	 t ɾ 'e n t ə 
sento	s 'e n t o	 s 'ɛ n t o 
He	'e	 'a 
hora	'ɔ ɾ ə	 ə ɾ ə 
Vaig	v 'a t ʃ	 v 'a ʃ 
problemes	p ɾ o β l 'ɛ m ə s	 p ɾ o β l 'ə m ə s 
Tot	t 'o t	 t 'ɔ t 
darrere	d ə r 'e ɾ ə	 d ə r 'ɛ ɾ ə 
teva	t 'e v ə	 t 'ə v ə 
tretze	t ɾ 'e d z ə	 t ɾ 'ə d z ə 
tema	t 'e m ə	 t 'ə m ə 
molta	m 'o l t ə	 m 'ɔ l t ə 
dotze	d 'o d z ə	 d 'ɔ d z ə 
dones	d 'ɔ n ə s	 d 'o n ə s 
queda	k 'e ð ə	 k 'ə ð ə 
noi	n 'ɔ j	 n 'o i 
fort	f 'ɔ ɾ t	 f 'o ɾ t 
Ens	'ə n s	 ə n s 
llengua	ʎ 'e ŋ g w ə	 ʎ 'ə ŋ g w ə 
tingut	t i ŋ g 'u t	 t 'i ŋ g 'u t 
tard	t 'a ɾ t	 t 'a ɾ ə 
segle	s 'e g g l ə	 s 'ə ɣ l ə 
Tots	t 'o t s	 t 'ɔ t s 
hagi	'a ʒ i	 ə ʒ i 
Que	k 'ə	 k ə 
jove	ʒ 'o v ə	 ʒ 'ɔ v ə 
catorze	k ə t 'o ɾ z ə	 k ə t 'ɔ ɾ z ə 
joves	ʒ 'o v ə s	 ʒ 'ɔ v ə s 
Sempre	s 'e m p ɾ ə	 s 'ə m p ɾ ə 
faig	f 'a t ʃ	 f 'a j ə 
meves	m 'e v ə s	 m 'ə v ə s 
Coneixement	k o n ə ʃ ə m 'e n t	 k o n 'ə ʃ ə m 'e n t 
llarg	ʎ 'a ɾ k	 ʎ 'a ɾ ə 
document	d o k u m 'e n t	 d 'ɔ k u m 'e n t 
contingut	k o n t i ŋ g 'u t	 k o n t 'i ŋ g 'u t 
boca	b 'o k ə	 b 'ɔ k ə 
temes	t 'e m ə s	 t 'ə m ə s 
tecla	t 'e k l ə	 t 'ɛ k l ə 
homes	'ɔ m ə s	 ə 'o m ə s 
centres	s 'e n t ɾ ə s	 s 'ɛ n t ɾ ə s 
Lleida	ʎ 'e j ð ə	 ʎ 'ə j ð ə 
tens	t 'ə n s	 t 'e n s 
maig	m 'a t ʃ	 m 'a ʃ 
trens	t ɾ 'ə n s	 t ɾ 'e n s 
importants	i m p o ɾ t 'a n s	 i m p o ɾ t 'a n t s 
aspectes	ə s p 'ɛ t t ə s	 ə s p 'ə t t ə s 
fes	f 'e s	 f 'ə s 
cultura	k u l t 'u ɾ ə	 k 'u l t 'u ɾ ə 
vuitanta	v u j t 'a n t ə	 v u i t 'a n t ə 
torna	t 'o ɾ n ə	 t 'ɔ ɾ n ə 
suport	s u p 'ɔ ɾ t	 s u p 'o ɾ t 
queden	k 'e ð ə n	 k 'ə ð ə n 
peixos	p 'e ʃ o s	 p 'ɛ ʃ o s 
haig	'a t ʃ	 ə 'i ə 
foto	f 'o t o	 f 'ɔ t o 
Pere	p 'e ɾ ə	 p 'ɛ ɾ ə 
O	'ɔ	 'o 
moviment	m o v i m 'e n t	 m 'ɔ v i m 'e n t 
instants	i n s t 'a n s	 i n s t 'a n t s 
etcètera	ə t s 'ɛ t ə ɾ ə	 ə t s 'ə t ə ɾ ə 
dòlars	d 'ɔ l ə s	 d 'ɔ l 'a s 
conte	k 'o n t ə	 k 'ɔ n t ə 
me'n	m ə n	 m 'ə n 
bossa	b 'o s ə	 b 'ɔ s ə 
Hem	'ə m	 'a m 
pedra	p 'e ð ɾ ə	 p 'ə ð ɾ ə 
passatgers	p ə s ə d ʒ 'e s	 p ə s 'a d ʒ 'e s 
paisatge	p ə j z 'a d ʒ ə	 p ə i z 'a d ʒ ə 
nois	n 'ɔ j s	 n 'o i s 
mètode	m 'ɛ t o ð ə	 m 'ə t o ð ə 
gens	ʒ 'ə n s	 g 'e n s 
formes	f 'o ɾ m ə s	 f 'ɔ ɾ m ə s 
espai	ə s p 'a j	 ə s p 'a i 
cotxes	k 'o t ʃ ə s	 k 'ɔ t ʃ ə s 
compra	k 'o m p ɾ ə	 k 'ɔ m p ɾ ə 
Reconeixement	r ə k o n ə ʃ ə m 'e n t	 r ə k o n 'ə ʃ ə m 'e n t 
Montse	m 'o n s ə	 m 'ɔ n t s ə 
vingut	v i ŋ g 'u t	 v 'i ŋ g 'u t 
respecte	r ə s p 'ɛ t t ə	 r ə s p 'ə t t ə 
parts	p 'a ɾ s	 p 'a ɾ t s 
me	m 'ə	 m ə 
mateixos	m ə t 'e ʃ o s	 m ə t 'ɛ ʃ o s 
gossos	g 'o s o s	 g 'ɔ s o s 
Pel	p 'ə l	 p 'ɛ l 
Et	'ə t	 ə t 
últims	'u l t i n s	 'u l t 'i n s 
volen	v 'o l ə n	 v 'ɔ l ə n 
plens	p l 'ə n s	 p l 'e n s 
funcionament	f u n s i o n ə m 'e n t	 f u n s i 'ɔ n ə m 'e n t 
dimecres	d i m 'e k ɾ ə s	 d i m 'ɛ k ɾ ə s 
deixen	d 'e ʃ ə n	 d 'ə ʃ ə n 
coneixement	k o n ə ʃ ə m 'e n t	 k o n 'ə ʃ ə m 'e n t 
cadascú	k ə ð ə s k 'u	 k 'a ð ə s k 'u 
Sense	s 'e n s ə	 s 'ə n s ə 
veuen	v 'ə w ə n	 v 'ɛ w ə n 
transport	t ɾ ə n s p 'ɔ ɾ t	 t ɾ ə n s p 'o ɾ t 
processos	p ɾ o s 'e s o s	 p ɾ o s 'ə s o s 
problema	p ɾ o β l 'ɛ m ə	 p ɾ o β l 'ə m ə 
pedres	p 'e ð ɾ ə s	 p 'ə ð ɾ ə s 
desig	d ə z 'i t ʃ	 d ə z 'i 
preguntar	p ɾ ə ɣ u n t 'a	 p ɾ ə ɣ 'u n t 'a 
pagament	p ə ɣ ə m 'e n t	 p 'a ɣ ə m 'e n t 
fosca	f 'o s k ə	 f 'ɔ s k ə 
fer-ho	f 'e ɾ o	 f 'ɛ ɾ o 
entendre	ə n t 'e n d ɾ ə	 ə n t 'ə n d ɾ ə 
dolça	d 'o l s ə	 d 'ɔ l s ə 
Vielha	v i 'ɛ l ə	 v i 'ɛ l 'a 
ves	v 'e s	 v 'ə s 
torno	t 'o ɾ n o	 t 'ɔ ɾ n o 
sistemes	s i s t 'e m ə s	 s i s t 'ə m ə s 
metges	m 'e d ʒ ə s	 m 'ə d ʒ ə s 
formen	f 'o ɾ m ə n	 f 'ɔ ɾ m ə n 
consum	k o n s 'u m	 k 'o n s 'u m 
boig	b 'ɔ t ʃ	 b 'ɔ 'i ə 
aspecte	ə s p 'ɛ t t ə	 ə s p 'ə t t ə 
Montserrat	m o n s ə r 'a t	 m 'o n t s ə r 'a t 
i	'i	 i 
vespre	v 'e s p ɾ ə	 v 'ə s p ɾ ə 
sabent	s ə β 'ɛ n t	 s ə β 'e n t 
representants	r ə p ɾ ə z ə n t 'a n s	 r ə p ɾ ə z ə n t 'a n t s 
reforma	r ə f 'o ɾ m ə	 r ə f 'ɔ ɾ m ə 
quedo	k 'e ð o	 k 'ə ð o 
